polyname,surveyname
Aginchok,Aginchok
Baseri,Baseri
Benighat,Benighat
Bhumesthan,Bhumesthan
Budhathum,Budhathum
Chainpur,Chainpur
ChhatreDyaurali,Chhatre Dyaurali
Darkha,Darkha
Dhola,Dhola
Dhussa,Dhussa
Gajuri,Gajuri
Gumdi,Gumdi
Jeewanpur,Jeewanpur
Jharlang,Jharlang
Jogimara,Jogimara
Jyamrung,Jyamrung
Kewalpur,Kewalpur
Khari,Khari
Kiranchok,Kiranchok
Lapa,Lapa
Mahadevsthan,Mahadevsthan
Maidi,Maidi
Marpak,Marpak
Mulpani,Mulpani
Muralibhanjyang,Murali Bhanjyang
Nalang,Nalang
Naubise,Naubise
Phulkhark,Phulkhark
ReeGaun,Ree Gaun
Salang,Salang
Salyankot,Salyankot
Salyantar,Salyantar
Satyadevi,Satyadevi
Semjong,Semjong
Sertung,Sertung
Tasarpu,Tasarpu
Thakre,Thankre
Tipling,Tipling
Tripureswor,Tripureswor
Baireni,Baireni
Goganpani,Goganpani
Katunje,Katunje
Khalte,Khalte
Kumpur,Kumpur
Nilkantha,Nilkantha
Pida,Pida
Sangkosh,Sangkosh
Sunaulabazar,Sunaula Bazar
Dhuwakot,Dhuwakot
Kalleri,Kalleri
